https://maharerait.maharashtra.gov.in/public/project/view/44685,,Project StatusActive ,Planning Authority Others ,Basic Details Project Location  Project Type   Project Name   Proposed Completion Date (Original)  ,Land Area & Address Details Final Plot bearing No/CTS Number/Survey Number G/P/No./8 Total Land Area of Approved Layout (Sq. Mts.) 400 Land Area for Project Applied for this Registration (Sq. Mts)  400  Permissible Built-up Area 1377.73 Sanctioned Built-up Area of the Project applied for Registration  1377.73 Aggregate area(in sq. mts) of recreational open space as per Layout / DP Remarks  
https://maharerait.maharashtra.gov.in/public/project/view/44685,Registration Number : P99000051839Date of Registration : 07/07/2023,Project StatusActive,Planning Authority Others,Basic Details Project Location Maharashtra Project Type Others  Project Name RADHA KRISHNA APARTMENT  Proposed Completion Date (Original) 31/12/2026,Land Area & Address Details Final Plot bearing No/CTS Number/Survey Number G/P/No./8 Total Land Area of Approved Layout (Sq. Mts.) 400 Land Area for Project Applied for this Registration (Sq. Mts)  400  Permissible Built-up Area 1377.73 Sanctioned Built-up Area of the Project applied for Registration  1377.73 Aggregate area(in sq. mts) of recreational open space as per Layout / DP Remarks
https://maharerait.maharashtra.gov.in/public/project/view/44686,,Project StatusLapsed,Planning Authority Others,Basic Details Project Location  Project Type   Project Name   Proposed Completion Date (Original),Land Area & Address Details Final Plot bearing No/CTS Number/Survey Number 101/1 Total Land Area of Approved Layout (Sq. Mts.) 371 Land Area for Project Applied for this Registration (Sq. Mts)  371  Permissible Built-up Area 830.62 Sanctioned Built-up Area of the Project applied for Registration  830.62 Aggregate area(in sq. mts) of recreational open space as per Layout / DP Remarks
https://maharerait.maharashtra.gov.in/public/project/view/44687,Registration Number : P99000052777Date of Registration : 22/09/2023,Project StatusActive,Planning Authority Others,Basic Details Project Location Maharashtra Project Type Residential / Group Housing  Project Name MEGASTONE HORIZON  Proposed Completion Date (Original) 31/03/2026  Proposed Completion Date (Revised) 31/03/2028,"Land Area & Address Details Final Plot bearing No/CTS Number/Survey Number 115, 123/1 Total Land Area of Approved Layout (Sq. Mts.) 1355.59 Land Area for Project Applied for this Registration (Sq. Mts)  1355.59  Permissible Built-up Area 3019.54 Sanctioned Built-up Area of the Project applied for Registration  3019.54 Aggregate area(in sq. mts) of recreational open space as per Layout / DP Remarks"
https://maharerait.maharashtra.gov.in/public/project/view/44688,Registration Number : P52000051002Date of Registration : 19/05/2023,Project StatusActive,Planning Authority Others,Basic Details Project Location Maharashtra Project Type Others  Project Name Bhaveshwar Callista 3  Proposed Completion Date (Original) 31/12/2027,"Land Area & Address Details Final Plot bearing No/CTS Number/Survey Number Plot No- 10C, Sector- 16E Total Land Area of Approved Layout (Sq. Mts.) 1949.96 Land Area for Project Applied for this Registration (Sq. Mts)  1949.96  Permissible Built-up Area 9360 Sanctioned Built-up Area of the Project applied for Registration  8359.84 Aggregate area(in sq. mts) of recreational open space as per Layout / DP Remarks 0"
https://maharerait.maharashtra.gov.in/public/project/view/44689,Registration Number : P51700051405Date of Registration : 08/06/2023,Project StatusCompleted,Planning Authority Others,Basic Details Project Location Maharashtra Project Type Residential / Group Housing  Project Name Sai Ganesh Co-Operative Housing Society Ltd  Proposed Completion Date (Original) 31/05/2026,Land Area & Address Details Final Plot bearing No/CTS Number/Survey Number Plot No 24 Old Survey No 326/A (Part) New Survey No 229 (part) Total Land Area of Approved Layout (Sq. Mts.) 468.22 Land Area for Project Applied for this Registration (Sq. Mts)  468.22  Permissible Built-up Area 1709.86 Sanctioned Built-up Area of the Project applied for Registration  1709.86 Aggregate area(in sq. mts) of recreational open space as per Layout / DP Remarks
https://maharerait.maharashtra.gov.in/public/project/view/44690,N/A,N/A,N/A,N/A,N/A
https://maharerait.maharashtra.gov.in/public/project/view/44691,Registration Number : P51700051406Date of Registration : 08/06/2023,Project StatusActive,Planning Authority Others,Basic Details Project Location Maharashtra Project Type Residential / Group Housing  Project Name NAV ASHOKVAN COOPERATIVE HOUSING SOCIETY LTD  Proposed Completion Date (Original) 30/04/2027,Land Area & Address Details Final Plot bearing No/CTS Number/Survey Number SURVEY NO 81/4/2/2 Total Land Area of Approved Layout (Sq. Mts.) 470 Land Area for Project Applied for this Registration (Sq. Mts)  470  Permissible Built-up Area 1360.05 Sanctioned Built-up Area of the Project applied for Registration  1160.05 Aggregate area(in sq. mts) of recreational open space as per Layout / DP Remarks
https://maharerait.maharashtra.gov.in/public/project/view/44692,N/A,N/A,N/A,N/A,N/A
https://maharerait.maharashtra.gov.in/public/project/view/44693,Registration Number : P52000053565Date of Registration : 10/11/2023,Project StatusActive,Planning Authority Others,Basic Details Project Location Maharashtra Project Type Others  Project Name Shree Krupa Apartment  Proposed Completion Date (Original) 31/12/2025  Proposed Completion Date (Revised) 30/03/2027,Land Area & Address Details Final Plot bearing No/CTS Number/Survey Number 870 Total Land Area of Approved Layout (Sq. Mts.) 613.6 Land Area for Project Applied for this Registration (Sq. Mts)  613.6  Permissible Built-up Area 1452.52 Sanctioned Built-up Area of the Project applied for Registration  1452.52 Aggregate area(in sq. mts) of recreational open space as per Layout / DP Remarks
https://maharerait.maharashtra.gov.in/public/project/view/44694,N/A,N/A,N/A,N/A,N/A
https://maharerait.maharashtra.gov.in/public/project/view/44695,N/A,N/A,N/A,N/A,N/A
